   JOINT #   DIRECTION    Pound-mass(inch)
   -------   ---------     = LBf/386.08858

      3872       Z             0.219606
       577       X             0.700392
       577       Y             0.700392
       577       Z             0.700392
      3585       X             0.694483
      3585       Y             0.694483
      3585       Z             0.694483
      3695       X             0.700736
      3695       Y             0.700736
      3695       Z             0.700736
      3871       X             0.673009
      3871       Y             0.673009
      3871       Z             0.673009
      8977       Y             0.422919
      4624       X             0.451728
      4624       Y             0.451728
      4624       Z             0.451728
       563       X             0.278468
       563       Y             0.278468
       563       Z             0.278468
      4627       X             0.408584
      4627       Y             0.408584
      4627       Z             0.408584
      4647       X             0.408585
      4647       Y             0.408585
      4647       Z             0.408585
      4648       X             0.365443
      4648       Y             0.365443
      4648       Z             0.365443
      4650       X             0.365442
      4650       Y             0.365442
      4650       Z             0.365442
      4653       X             0.408585
      4653       Y             0.408585
      4653       Z             0.408585
      4680       X             0.408585
      4680       Y             0.408585
      4680       Z             0.408585
      3709       X             0.278468
      3709       Y             0.278468
      3709       Z             0.278468
      3881       X             0.486569
      3881       Y             0.486569
      3881       Z             0.486569
      9004       Y             0.736285
      3879       X             0.243950
      3879       Y             0.243950
      3879       Z             0.243950
      9003       Y             0.467436
      9005       Y             0.502363
      3877       X             0.242794
      3877       Y             0.242794
      3877       Z             0.242794
      9002       Y             0.562002
      9006       Y             0.469262
      3705       X             0.278468
      3705       Y             0.278468
      3705       Z             0.278468
      3875       X             0.242794
      3875       Y             0.242794
      3875       Z             0.242794
      8988       Y             0.466066
      9007       Y             0.697165
      3701       X             0.278468
      3701       Y             0.278468
      3701       Z             0.278468
      3873       X             0.252188
      3873       Y             0.252188
      3873       Z             0.252188
      3618       X             0.280407
      3618       Y             0.280407
      3618       Z             0.280407
      8983       Y             0.787355
      3909       X             0.478403
      3909       Y             0.478403
      3909       Z             0.478403
      9024       Y             0.491246
      3867       X             0.486569
      3867       Y             0.486569
      3867       Z             0.486569
      8980       Y             0.517757
      9031       Y             0.491746
      9034       Y             0.696726
      3977       X             0.407145
      3977       Y             0.407145
      3977       Z             0.407145
      9045       Y             0.396435
      9054       Y             0.428654
      3913       X             0.238017
      3913       Y             0.238017
      3913       Z             0.238017
      3926       X             0.193690
      3926       Y             0.193690
      3926       Z             0.193690
      3927       X             0.196418
      3927       Y             0.196418
      3927       Z             0.196418
      3939       X             0.240744
      3939       Y             0.240744
      3939       Z             0.240744
      9055       Y             0.750065
      3694       X             0.278468
      3694       Y             0.278468
      3694       Z             0.278468
      3870       X             0.242794
      3870       Y             0.242794
      3870       Z             0.242794
      3866       X             0.263819
      3866       Y             0.263819
      3866       Z             0.263819
      3865       X             0.243950
      3865       Y             0.243950
      3865       Z             0.243950
      8976       Y             0.467218
      3364       X             0.552781
      3364       Y             0.552781
      3364       Z             0.552781
      8835       Y             0.645035
      9813       X             0.365733
      9813       Y             0.365733
      9813       Z             0.365733
      3354       X             0.277146
      3354       Y             0.277146
      3354       Z             0.277146
      8834       Y             0.466870
      3344       X             0.275833
      3344       Y             0.275833
      3344       Z             0.275833
      8899       Y             0.307866
      3334       X             0.275833
      3334       Y             0.275833
      3334       Z             0.275833
      4790       X             0.393629
      4790       Y             0.393629
      4790       Z             0.393629
      9070       Y             0.146605
      3324       X             0.275833
      3324       Y             0.275833
      3324       Z             0.275833
      4787       X             0.197353
      4787       Y             0.197353
      4787       Z             0.197353
      4789       X             0.393629
      4789       Y             0.393629
      4789       Z             0.393629
      9069       Y             0.148168
      3314       X             0.275833
      3314       Y             0.275833
      3314       Z             0.275833
      3379       X             0.362141
      3379       Y             0.362141
      3379       Z             0.362141
      4744       X             0.245522
      4744       Y             0.245522
      4744       Z             0.245522
      4763       X             0.196417
      4763       Y             0.196417
      4763       Z             0.196417
      4745       X             0.245522
      4745       Y             0.245522
      4745       Z             0.245522
      4762       X             0.196417
      4762       Y             0.196417
      4762       Z             0.196417
      4003       X             0.362142
      4003       Y             0.362142
      4003       Z             0.362142
      4754       X             0.239381
      4754       Y             0.239381
      4754       Z             0.239381
      4784       X             0.196417
      4784       Y             0.196417
      4784       Z             0.196417
      4788       X             0.393630
      4788       Y             0.393630
      4788       Z             0.393630
      9068       Y             0.148169
      1541       X             0.470037
      1541       Y             0.470037
      1541       Z             0.470037
      4781       X             0.196417
      4781       Y             0.196417
      4781       Z             0.196417
      4044       X             0.440100
      4044       Y             0.440100
      4044       Z             0.440100
      9067       Y             0.165661
      1533       X             0.275833
      1533       Y             0.275833
      1533       Z             0.275833
      4037       X             0.486569
      4037       Y             0.486569
      4037       Z             0.486569
      9066       Y             0.183153
       556       X             0.419640
       556       Y             0.419640
       556       Z             0.419640
       555       X             0.278468
       555       Y             0.278468
       555       Z             0.278468
       557       X             0.278468
       557       Y             0.278468
       557       Z             0.278468
      4651       X             0.408585
      4651       Y             0.408585
      4651       Z             0.408585
       554       X             0.278468
       554       Y             0.278468
       554       Z             0.278468
       558       X             0.278468
       558       Y             0.278468
       558       Z             0.278468
       553       X             0.278468
       553       Y             0.278468
       553       Z             0.278468
       559       X             0.419640
       559       Y             0.419640
       559       Z             0.419640
       552       X             0.419640
       552       Y             0.419640
       552       Z             0.419640
       560       X             0.278468
       560       Y             0.278468
       560       Z             0.278468
      4690       X             0.378446
      4690       Y             0.378446
      4690       Z             0.378446
      4689       X             0.364772
      4689       Y             0.364772
      4689       Z             0.364772
      4688       X             0.365443
      4688       Y             0.365443
      4688       Z             0.365443
